Tree,BS,DBH,DB,V,WP
2505,0,12,19,4,1
2506,0,13.1,40,4,0
2507,1,33.8,14,4,0
2508,0,33.4,93,3,0
2509,1,11.5,73,4,0
2510,0,21.7,20,1,0
2511,1,4.1,5,2,0
2512,0,25.4,53,0,1
2513,1,38.4,75,1,1
2514,0,3.3,45,2,1
2515,0,0.8,32,3,1
2516,1,16.8,1,0,0
2517,1,15.2,98,5,1
2518,1,8.7,26,3,0
2519,0,10.8,56,0,1
2520,0,37.3,35,4,0
2521,0,0.2,90,1,0
2522,1,6.1,8,2,0
2523,0,5.8,77,3,1
2524,0,1.5,22,3,0
2525,1,17.8,11,2,0
2526,0,12.3,17,3,0
2527,0,36.6,97,0,1
2528,0,22.8,53,2,1
2529,0,23.5,70,1,1
2530,1,33.9,82,0,1
2531,0,19.6,47,3,0
2532,0,15.2,100,3,1
2533,1,36.6,65,3,0
2534,1,27.9,67,3,0
2535,1,15,89,1,0
2536,1,33.4,53,2,1
2537,1,28.9,15,4,1
2538,0,32.7,22,1,0
2539,1,23.5,71,0,0
2540,0,0.8,87,1,1
2541,1,33.6,94,0,0
2542,1,12.2,48,0,0
2543,1,12.6,6,5,0
2544,1,18.6,84,2,0
2545,1,36.9,46,2,0
2546,1,13.8,71,5,1
2547,1,20.8,71,2,1
2548,1,27.6,4,3,0
2549,0,13.3,21,2,0
2550,1,3,25,3,1
2551,0,11,69,0,0
2552,1,37.1,53,2,1
2553,1,31.7,46,4,0
2554,0,25.9,62,3,1
2555,0,4.8,0,1,1
2556,1,25.2,19,5,0
2557,1,15,58,2,0
2558,0,23.2,53,3,0
2559,1,14.6,9,2,0
2560,1,37.9,7,2,0
2561,0,10.8,50,0,1
2562,0,26.3,82,3,0
2563,0,4,56,4,0
2564,1,8.1,31,1,1
2565,1,7.2,45,4,0
2566,1,26.9,3,3,1
2567,0,9.3,38,4,0
2568,0,36.4,75,1,0
2569,1,32.1,68,2,1
2570,0,27.8,13,3,1
2571,0,30,67,4,0
2572,0,18,59,1,0
2573,1,5.3,98,3,0
2574,0,35.3,47,4,0
2575,1,17.4,97,1,0
2576,1,12.9,29,3,1
2577,0,34.4,56,2,0
2578,1,29.6,11,1,1
2579,0,28.6,84,4,1
2580,1,24.1,30,3,0
2581,0,26.2,19,0,0
2582,1,10.9,42,4,1
2583,0,35.8,52,3,1
2584,1,7.4,5,3,0
2585,1,25,92,3,0
2586,1,6.1,93,3,0
2587,1,13,60,1,1
2588,1,23.9,37,0,1
2589,1,22,5,1,1
2590,0,12.6,71,2,0
2591,0,30.9,70,1,1
2592,1,32.3,74,0,0
2593,0,2.6,33,5,1
2594,1,24,95,3,1
2595,1,35.9,84,4,0
2596,0,32.1,92,3,1
2597,0,37.6,40,1,0
2598,1,29.9,94,3,1
2599,1,12,45,3,1
2600,1,15.2,15,1,1
2601,1,36.6,60,4,1
2602,1,11.7,34,3,1
2603,1,39.6,67,3,0
2604,0,24.2,21,5,0
2605,1,34.4,55,0,1
2606,1,36.8,24,4,0
2607,0,14.6,20,3,1
2608,0,0.8,90,2,0
2609,0,26.7,51,2,0
2610,0,38.6,74,3,1
2611,1,31.2,89,4,1
2612,0,28.8,57,5,1
2613,0,34.7,25,3,0
2614,1,34.6,89,3,1
2615,1,14.3,79,1,1
2616,0,21.3,8,2,0
2617,0,22.7,91,3,0
2618,1,23.1,6,4,1
2619,0,12,32,4,0
2620,1,19.1,93,2,1
2621,1,23.4,93,2,1
2622,0,3.2,33,2,0
2623,0,1.5,89,3,0
2624,0,9.4,24,2,0
2625,1,18.8,32,4,1
2626,0,26.8,56,3,1
2627,1,30,23,5,1
2628,0,12.2,40,0,0
2629,1,24.8,19,2,0
2630,0,16,16,3,0
2631,1,15,21,2,0
2632,0,34.1,18,2,0
2633,1,29.6,62,3,0
2634,0,1.5,69,2,0
2635,0,18.9,22,5,1
2636,1,34.8,58,4,0
2637,1,12.2,43,3,0
2638,1,37.8,10,3,1
2639,0,26.3,50,4,1
2640,0,24,32,5,1
2641,0,28.7,37,1,1
2642,0,5.7,2,1,1
2643,1,21.3,67,4,0
2644,0,23.8,36,2,0
2645,1,11.4,72,3,0
2646,0,1.7,78,4,1
2647,1,37.8,79,4,0
2648,1,22.6,7,5,0
2649,0,2.8,40,1,0
2650,0,33.8,84,3,0
2651,0,35.1,42,5,1
2652,0,25.9,29,1,1
2653,0,34.2,35,3,1
2654,0,32.5,8,1,1
2655,0,16.7,59,2,1
2656,0,30.7,4,3,1
2657,1,10.2,90,4,0
2658,0,12.6,22,4,1
2659,0,28.2,1,0,1
2660,1,23.3,41,1,1
2661,1,12.9,20,1,0
2662,1,6.9,34,2,1
2663,1,24,69,5,0
2664,1,13.6,83,3,0
2665,0,30,54,0,0
2666,1,16.2,19,4,1
2667,1,9.5,53,1,0
2668,1,32.8,16,2,0
2669,1,32.6,30,4,0
2670,0,14.1,77,4,0
2671,0,1.9,18,1,1
2672,1,15.7,90,0,1
2673,1,6.5,83,3,1
2674,0,29.3,28,4,1
2675,0,12.5,49,1,1
2676,1,30.4,3,0,0
2677,0,36.8,24,4,0
2678,1,23.5,29,1,0
2679,0,26.2,0,2,0
2680,1,34.1,27,3,1
2681,0,4.6,17,3,0
2682,1,29,57,2,0
2683,0,38.1,80,3,0
2684,0,38.8,10,0,1
2685,0,16.7,42,1,0
2686,0,16,25,1,0
2687,0,8.5,47,2,1
2688,1,16.6,92,4,1
2689,0,30.4,75,2,0
2690,1,14.2,46,3,1
2691,1,28.1,61,4,0
2692,1,15.1,0,3,1
2693,0,1.2,73,1,0
2694,0,16.1,60,2,0
2695,0,34,57,5,1
2696,1,28,1,3,1
2697,1,17.4,51,2,1
2698,0,37.3,24,3,1
2699,0,32.7,24,1,0
2700,0,5.8,23,1,1
2701,1,1.6,22,4,1
2702,1,23.5,8,4,0
2703,0,36.9,34,4,0
2704,0,29.9,39,2,1
2705,1,24.7,60,0,0
2706,1,6.2,67,3,0
2707,0,15.2,44,4,0
2708,1,7.4,61,0,0
2709,0,35.6,93,2,1
2710,1,2.9,47,2,1
2711,0,32.1,54,2,0
2712,1,8.2,28,1,1
2713,1,16,1,2,1
2714,1,8.8,60,2,0
2715,1,18.8,55,2,0
2716,1,12.2,47,4,1
2717,1,24.3,44,2,0
2718,1,35.5,12,2,0
2719,1,34.5,94,0,0
2720,0,6.5,46,3,0
2721,0,5.3,64,4,0
2722,1,20.3,98,0,0
2723,1,1.1,77,0,0
2724,0,28.8,3,3,0
2725,1,8.6,38,2,0
2726,0,37.4,6,2,1
2727,1,7.1,100,2,0
2728,1,6.5,40,5,1
2729,1,4.1,11,1,0
2730,1,31.9,88,4,0
2731,1,31.1,12,1,1
2732,1,4.1,75,4,1
2733,1,30.6,68,1,0
2734,1,35.2,45,3,1
2735,0,37.6,14,3,0
2736,1,38,67,2,0
2737,0,2.8,29,1,0
2738,0,1.3,21,2,1
2739,1,34.3,47,4,1
2740,1,5.1,28,5,0
2741,0,9.3,36,1,0
2742,0,10.4,67,4,0
2743,1,26,13,1,1
2744,1,35.4,53,1,1
2745,0,21.6,60,1,0
2746,0,11.8,7,5,1
2747,1,5.9,43,4,1
2748,1,0.6,63,2,0
2749,0,16.9,44,2,0
2750,0,32.6,68,2,0
2751,0,27.2,59,1,0
2752,0,39.9,67,2,1
2753,1,0.3,21,1,1
2754,0,11,12,2,1
2755,0,38.6,95,2,1
2756,1,39.3,34,3,0
2757,0,13.2,89,5,0
2758,1,19.5,89,0,1
2759,1,39.5,21,4,1
2760,1,35.6,82,3,0
2761,1,25.8,5,1,0
2762,1,20,66,4,1
2763,0,32.7,77,3,1
2764,1,3.3,8,1,1
2765,1,0.9,9,3,0
2766,1,24.8,79,0,0
2767,1,19.4,84,4,0
2768,1,30.7,90,1,0
2769,1,39.4,55,5,0
2770,0,36.5,60,4,0
2771,1,30.6,72,3,0
2772,0,31.9,39,5,1
2773,0,11.1,93,3,1
2774,0,9.2,57,3,0
2775,0,22.3,80,2,1
2776,0,8.7,99,0,1
2777,1,19.8,10,2,1
2778,1,10.3,27,2,0
2779,0,4.5,35,2,0
2780,0,26.2,72,2,1
2781,0,27.1,85,0,0
2782,0,21.8,79,0,1
2783,1,38.3,97,2,1
2784,1,9.8,6,1,1
2785,1,39,95,3,0
2786,0,4.7,84,1,1
2787,1,33,79,1,0
2788,0,18.3,53,5,1
2789,1,24.8,69,5,1
2790,1,22.3,22,0,1
2791,1,7.1,74,1,1
2792,1,39,58,2,0
2793,1,37.1,88,2,1
2794,0,32.5,11,4,1
2795,1,30.4,78,4,0
2796,0,18.6,44,1,1
2797,0,33.3,8,2,0
2798,1,24.9,5,1,0
2799,0,9.9,78,2,0
2800,0,17.4,31,0,0
2801,0,34.6,49,2,0
2802,0,16.8,92,5,0
2803,1,1.9,86,3,0
2804,0,13.2,27,3,1
2805,1,9.5,94,3,1
2806,0,14,24,5,1
2807,1,6.7,73,3,0
2808,1,7.1,32,2,1
2809,1,4.1,65,1,1
2810,1,24.7,86,2,1
2811,1,36.6,39,4,0
2812,0,29.3,99,5,1
2813,1,13.3,62,4,0
2814,0,3.2,90,0,0
2815,0,15.8,53,4,1
2816,0,30.3,71,2,1
2817,1,33.3,42,0,0
2818,0,23.4,39,4,1
2819,0,21.4,24,4,1
2820,1,11,22,0,0
2821,1,3.3,66,4,0
2822,0,28.3,28,3,0
2823,0,39.6,42,3,1
2824,1,30.1,96,3,0
2825,0,10.3,81,3,0
2826,1,30.9,77,2,1
2827,0,19.4,99,0,1
2828,1,3,25,1,1
2829,0,2.3,1,0,0
2830,1,2.6,1,3,1
2831,0,1.8,69,3,0
2832,1,0.1,78,1,0
2833,1,3.3,22,5,1
2834,1,25.4,73,4,0
2835,1,34.3,26,4,0
2836,1,14.2,34,2,1
2837,0,5.3,76,1,1
2838,0,19.6,6,4,1
2839,0,26.4,65,3,0
2840,0,22.4,5,3,1
2841,1,26.5,41,3,1
2842,1,2.9,68,1,0
2843,0,9.8,23,1,1
2844,1,28,80,3,1
2845,0,5.2,57,5,0
2846,0,12.6,22,5,1
2847,1,4.1,31,1,1
2848,0,5.4,30,1,0
2849,0,27,58,3,0
2850,1,21,34,2,0
2851,1,19.3,94,4,1
2852,1,29.2,100,1,1
2853,0,22.9,79,4,0
2854,1,33.5,9,0,1
2855,0,30.6,15,2,1
2856,0,32,57,3,1
2857,0,16,91,0,0
2858,1,28.9,82,5,1
2859,0,38.8,7,0,0
2860,0,23.7,44,4,1
2861,0,8,22,3,1
2862,0,24.2,16,3,1
2863,0,10.5,44,2,0
2864,1,4.7,30,2,1
2865,0,6.9,69,0,0
2866,1,14.3,71,0,0
2867,0,23.8,53,1,0
2868,1,4,61,4,1
2869,1,29.6,36,1,1
2870,1,35.4,98,4,1
2871,1,10.4,33,5,0
2872,0,26.1,89,1,1
2873,0,25.2,69,3,0
2874,1,7.9,56,2,1
2875,0,36,68,3,1
2876,1,15.4,28,3,1
2877,1,37.3,96,4,1
2878,1,38.8,98,4,1
2879,1,14.2,39,5,1
2880,1,14.2,58,3,1
2881,1,19.5,17,4,0
2882,0,4.1,64,3,0
2883,0,34.4,60,1,1
2884,1,18.3,15,2,1
2885,0,30.3,8,1,1
2886,1,31.4,82,5,0
2887,0,10.1,48,5,0
2888,1,31.4,36,3,0
2889,0,1.5,6,3,1
2890,1,9.2,74,3,0
2891,1,16.3,3,3,0
2892,0,6.7,86,2,1
2893,0,35.9,78,1,1
2894,0,7.9,31,1,0
2895,0,16.1,61,3,0
2896,0,10.4,2,4,1
2897,1,12.5,29,3,0
2898,0,36.1,39,1,1
2899,0,3.1,14,2,0
2900,0,15.3,35,4,1
2901,1,1,50,2,0
2902,0,10.4,84,0,1
2903,1,0.1,89,3,0
2904,0,3.1,21,5,1
2905,0,7,99,3,0
2906,0,19.9,40,4,0
2907,1,24.4,19,4,0
2908,0,31.2,58,2,0
2909,1,33.7,57,2,0
2910,0,35.7,82,0,1
2911,0,29.7,84,2,1
2912,0,16.6,68,1,0
2913,0,24,90,1,1
2914,1,1.6,13,1,0
2915,0,10.7,7,4,0
2916,0,9.1,52,4,0
2917,1,17.5,6,2,1
2918,1,33.6,4,3,1
2919,1,27.2,59,5,1
2920,0,27.1,98,4,1
2921,1,0.2,72,2,0
2922,1,30,90,3,1
2923,0,5,22,2,0
2924,1,25.2,65,4,0
2925,1,6,49,1,0
2926,0,35.3,13,3,0
2927,0,24.6,85,1,1
2928,1,16.4,11,4,0
2929,1,34.5,58,2,1
2930,0,13.3,91,5,0
2931,0,17.3,70,3,1
2932,1,37.9,89,5,1
2933,0,11,95,2,1
2934,0,0.4,60,0,1
2935,1,2.4,35,5,0
2936,1,6.7,59,3,0
2937,1,7.6,16,1,0
2938,1,16.6,25,3,1
2939,0,12.6,76,4,1
2940,0,0.8,44,4,1
2941,1,14.4,39,5,0
2942,1,13.2,2,0,1
2943,0,36.7,40,3,0
2944,0,3.9,83,4,0
2945,0,26.7,49,3,1
2946,1,18.2,84,1,1
2947,0,37.2,77,5,0
2948,0,29.8,2,1,0
2949,0,39.9,58,1,0
2950,1,5.8,61,1,0
2951,0,15.7,31,0,1
2952,1,34.1,19,4,1
2953,0,26,7,0,0
2954,0,27.2,79,3,1
2955,0,7.7,42,1,0
2956,0,29.8,62,0,0
2957,1,0.4,80,2,0
2958,0,10.1,67,0,0
2959,0,3.9,88,2,0
2960,1,31.3,81,2,0
2961,1,11.7,58,0,0
2962,1,5.4,40,3,0
2963,0,26.8,43,1,0
2964,1,33,39,0,0
2965,0,5,76,3,1
2966,0,12.7,28,2,1
2967,0,35.2,8,4,1
2968,1,24.7,7,3,1
2969,0,24.2,67,2,0
2970,0,30.8,54,2,0
2971,1,6.6,22,5,0
2972,1,36.2,39,1,0
2973,1,13,7,1,1
2974,0,4.4,0,4,1
2975,0,14.6,36,4,1
2976,0,31.4,4,0,1
2977,1,33.2,37,4,0
2978,1,9.3,1,4,0
2979,0,22.6,79,2,1
2980,0,0.1,86,3,0
2981,1,31.1,46,2,1
2982,1,10.3,23,4,1
2983,1,25,25,2,0
2984,1,22.3,79,2,1
2985,1,20,99,4,0
2986,1,31.2,43,1,0
2987,0,13,55,3,1
2988,1,18.4,69,3,1
2989,0,25.5,4,3,0
2990,1,32.1,25,1,1
2991,0,22.1,57,4,0
2992,1,13.3,98,2,0
2993,0,0.2,35,3,1
2994,0,21.1,88,0,1
2995,0,9.5,87,1,0
2996,0,23.6,26,2,1
2997,1,26.3,1,4,1
2998,0,1.2,90,1,0
2999,0,36.3,27,1,1
3000,0,37.4,15,2,0
3001,1,15.5,47,4,1
3002,0,16.7,20,1,0
3003,1,22.6,67,2,0
3004,0,10.5,30,3,0
3005,0,29.6,1,3,0
3006,1,27.3,21,3,1
3007,1,5.9,56,3,1
3008,0,16.7,32,5,0
3009,0,36.8,29,3,0
3010,0,33.5,73,3,1
3011,0,14.6,44,1,0
3012,0,33.3,5,0,1
3013,1,6,83,2,1
3014,0,12.7,58,2,0
3015,0,16.6,67,2,1
3016,0,9.9,43,3,1
3017,0,7.5,16,1,1
3018,0,11.8,66,4,0
3019,1,31.3,74,3,1
3020,1,28.3,65,4,0
3021,0,0.1,19,4,0
3022,0,22.9,25,4,1
3023,0,21.3,69,4,0
3024,1,0.4,89,3,0
3025,1,36.3,6,1,0
3026,0,15.8,78,3,0
3027,0,2.4,46,0,1
3028,1,9,40,4,1
3029,0,0.6,89,4,0
3030,1,13.2,74,3,1
3031,1,9.2,16,3,1
3032,0,27.5,46,1,1
3033,0,30.3,17,1,0
3034,1,32.3,77,3,1
3035,0,37.1,43,4,1
3036,1,16.9,28,4,0
3037,1,1.4,62,2,1
3038,1,39.3,35,4,0
3039,1,3.6,75,0,1
3040,1,35.3,33,3,0
3041,0,19.1,52,3,1
3042,1,15.7,33,1,0
3043,0,13.3,59,3,1
3044,1,11.3,16,5,1
3045,1,19.6,91,4,0
3046,0,31.3,66,3,1
3047,0,35.7,5,2,0
3048,1,36.8,99,4,0
3049,0,1.5,63,1,0
3050,1,39.9,83,2,0
3051,0,25.8,48,1,0
3052,1,35.2,100,4,1
3053,0,39.3,92,2,1
3054,1,37.9,5,0,1
3055,0,25.3,15,0,1
3056,0,3.8,3,5,1
3057,0,16.8,5,3,0
3058,1,28.8,88,3,0
3059,1,9,44,4,1
3060,0,12.8,83,2,0
3061,1,26.3,69,4,1
3062,0,24.7,80,4,0
3063,0,11.9,87,4,1
3064,1,32.2,24,2,1
3065,0,8.6,63,1,1
3066,0,36.4,64,5,0
3067,0,13.1,30,2,0
3068,1,19,3,1,0
3069,1,29.9,49,4,0
3070,1,12.4,40,4,1
3071,1,1.4,87,3,0
3072,0,0.7,88,1,0
3073,1,6.1,60,0,0
3074,0,5.4,71,3,1
3075,1,5.7,77,1,0
3076,0,23.5,26,5,0
3077,1,4.7,71,3,1
3078,0,38.9,58,3,1
3079,1,38.7,47,0,0
3080,1,17.8,78,2,0
3081,0,18.3,4,1,1
3082,1,19.7,62,3,0
3083,1,35.7,51,0,1
3084,1,18.2,50,1,1
3085,0,22.5,91,4,1
3086,0,2.2,27,3,1
3087,1,39.5,20,1,1
3088,0,37.6,80,3,0
3089,1,38.2,24,2,0
3090,0,38.7,9,0,1
3091,0,0,64,4,0
3092,0,15.7,64,3,1
3093,1,21.7,22,1,1
3094,0,16.8,52,4,0
3095,1,10.4,84,2,0
3096,1,4.6,62,3,1
3097,1,24.8,91,1,0
3098,1,38.2,43,2,0
3099,0,30.6,27,3,0
3100,1,5.2,60,5,1
3101,0,25.4,100,1,1
3102,0,5.3,80,1,1
3103,0,33.1,66,3,1
3104,1,27.2,79,0,0
3105,0,22.4,38,2,0
3106,0,16.5,68,2,1
3107,0,37.7,63,2,1
3108,1,22.1,74,4,1
3109,1,25.1,29,0,1
3110,0,6.6,58,4,0
3111,0,16.8,92,4,1
3112,0,33.4,45,4,1
3113,0,16.7,49,2,1
3114,0,37.6,14,5,1
3115,1,29.2,49,1,1
3116,1,21.1,54,1,1
3117,0,28,19,0,1
3118,1,8.3,89,4,0
3119,0,36.3,76,2,0
3120,1,38.1,9,2,0
3121,0,26.4,83,2,1
3122,0,39.7,74,1,0
3123,0,38.8,50,4,1
3124,0,3.5,31,2,1
3125,1,15.6,85,4,0
3126,0,34.7,69,4,0
3127,0,14.5,76,1,1
3128,0,1,26,2,1
3129,1,8.7,26,0,0
3130,1,26,7,1,1
3131,1,6.4,25,2,0
3132,1,29,68,4,0
3133,1,25.3,42,5,1
3134,0,31.5,26,2,0
3135,1,12.5,63,4,1
3136,1,19.9,65,2,1
3137,1,16.5,24,2,0
3138,0,18.2,29,4,1
3139,1,33.6,46,2,0
3140,0,28.2,75,3,1
3141,0,38.5,46,2,0
3142,1,8.3,58,0,1
3143,1,30.5,49,1,1
3144,0,33.2,17,2,0
3145,1,3.2,39,5,1
3146,1,19,46,3,1
3147,1,23.7,39,2,0
3148,1,20.6,16,4,0
3149,0,28.2,78,1,0
3150,1,32.7,41,4,1
3151,1,6.1,26,0,1
3152,0,36.5,45,4,0
3153,0,24,69,1,1
3154,0,8,42,1,1
3155,1,24,93,5,1
3156,1,26.2,83,5,0
3157,1,33.5,82,0,0
3158,0,31.9,8,0,1
3159,1,14.3,4,4,0
3160,0,21,37,2,1
3161,1,15.5,17,1,1
3162,1,10.9,40,1,1
3163,1,12.8,78,1,0
3164,0,19,77,3,1
3165,0,22.2,29,1,1
3166,1,25.5,69,3,1
3167,0,16.6,24,5,1
3168,1,11.8,65,0,0
3169,1,11.1,4,4,1
3170,1,36.6,16,2,0
3171,1,16,2,3,0
3172,0,13.6,9,3,1
3173,0,25.4,45,4,0
3174,0,38.8,74,4,1
3175,0,6.4,85,3,0
3176,0,32.9,16,1,1
3177,1,37.4,43,4,0
3178,1,32.6,29,2,1
3179,1,14.5,62,3,1
3180,0,6.5,68,4,0
3181,0,4.2,91,1,1
3182,0,37.3,55,2,0
3183,1,20,76,3,1
3184,0,5.8,19,3,0
3185,0,23.2,10,4,1
3186,0,10.5,1,2,1
3187,0,27.6,53,4,1
3188,0,34.3,48,4,0
3189,1,2.5,12,5,0
3190,0,10.5,49,1,1
3191,0,27.3,73,1,1
3192,1,23.2,55,3,1
3193,0,34,19,4,1
3194,1,29.7,30,2,0
3195,0,31.7,73,4,0
3196,1,28.4,18,3,1
3197,0,5.9,3,5,1
3198,1,26.2,66,1,0
3199,0,1,71,4,0
3200,1,37.3,26,1,1
3201,0,7,11,4,0
3202,0,31.8,75,2,1
3203,1,24,5,5,0
3204,0,7.1,73,3,0
3205,0,2.5,20,1,0
3206,1,30.4,12,3,0
3207,0,30.1,91,2,1
3208,1,12.6,86,4,1
3209,1,22.5,2,3,0
3210,1,26.5,28,2,1
3211,1,32.3,21,5,1
3212,1,34.9,37,5,1
3213,1,6.7,97,2,0
3214,1,10.1,97,4,0
3215,0,10,74,4,0
3216,0,27.5,53,2,1
3217,0,36.4,60,1,1
3218,0,9.6,79,3,1
3219,1,24.8,20,3,0
3220,0,35.1,24,2,1
3221,0,16.2,89,1,1
3222,0,1.5,89,3,1
3223,0,3.6,15,3,1
3224,1,33.3,1,1,1
3225,0,7,55,2,1
3226,1,17.3,15,3,0
3227,1,37.7,54,5,1
3228,1,25.8,57,1,1
3229,0,28.9,29,5,1
3230,0,37.8,42,5,0
3231,0,37.5,82,1,1
3232,1,2.9,22,2,0
3233,1,29.5,31,4,0
3234,1,23.4,61,4,1
3235,0,15.6,76,4,0
3236,1,31.4,5,3,1
3237,1,37.3,35,2,0
3238,1,39.1,92,1,1
3239,1,19.3,20,1,1
3240,0,33,74,4,0
3241,0,23.9,56,3,0
3242,1,12.6,26,4,0
3243,0,5.9,21,0,1
3244,1,3.9,1,1,0
3245,1,0.9,55,2,1
3246,0,24.4,81,1,1
3247,1,25.2,17,3,0
3248,1,13.9,21,5,0
3249,1,4.2,11,1,1
3250,0,32.7,49,1,1
3251,1,31.2,92,2,0
3252,1,28.9,48,1,1
3253,0,5.1,51,4,0
3254,1,9.3,69,1,1
3255,1,35,1,4,0
3256,1,28.9,85,0,0
3257,0,24.1,53,4,1
3258,0,39.9,9,1,0
3259,1,4.2,75,4,1
3260,0,20,63,3,1
3261,0,19.3,54,2,1
3262,0,31.7,78,1,0
3263,1,18.4,100,4,1
3264,1,35.8,87,5,0
3265,1,15.2,64,1,0
3266,0,8.6,12,2,0
3267,1,37.4,4,5,0
3268,0,18,82,2,0
3269,1,8.6,67,4,0
3270,0,25.1,33,1,0
3271,1,29.3,94,3,0
3272,1,14.4,11,5,1
3273,1,14.6,93,3,1
3274,1,15.3,27,2,1
3275,1,4.9,24,4,1
3276,0,17.2,21,3,0
3277,0,36.3,75,2,1
3278,0,28.8,45,1,0
3279,1,1.6,74,4,0
3280,0,31.1,14,1,1
3281,0,35.2,75,2,0
3282,1,37,40,1,0
3283,0,2.5,12,3,1
3284,1,37.6,22,4,0
3285,0,37.2,92,2,1
3286,1,6.1,4,3,0
3287,0,15.4,76,2,0
3288,0,20.1,74,2,1
3289,1,17.7,26,3,1
3290,1,1.6,4,3,0
3291,1,22.3,47,1,1
3292,1,10.3,94,1,0
3293,1,8.3,6,3,0
3294,0,18.3,58,1,1
3295,0,8.8,67,1,0
3296,0,33.7,39,2,0
3297,1,30.8,29,4,0
3298,1,0.2,59,2,0
3299,1,38.6,28,2,0
3300,0,16.3,12,0,1
3301,1,25.1,81,3,1
3302,0,34,78,3,0
3303,1,23.6,33,3,0
3304,1,3.3,60,0,1
3305,0,36.8,9,0,1
3306,1,32.5,87,1,0
3307,0,19.7,95,4,1
3308,0,38.7,2,4,1
3309,1,8.6,22,5,1
3310,0,0.1,65,1,0
3311,0,11.5,65,3,0
3312,0,34,90,5,1
3313,0,38.8,26,4,1
3314,0,24.3,43,1,0
3315,0,2.1,1,2,1
3316,1,27.5,11,3,0
3317,1,20.2,82,2,0
3318,1,14.7,1,5,1
3319,1,17.5,2,4,1
3320,1,7,79,1,0
3321,1,11.6,82,2,0
3322,0,32.8,59,2,0
3323,0,28.7,93,1,0
3324,1,21.8,78,4,0
3325,1,27.4,48,4,1
3326,1,18.3,79,0,1
3327,1,12.1,33,0,0
3328,1,22.7,3,0,1
3329,0,33.4,6,3,0
3330,1,11.7,82,1,0
3331,1,23.7,1,0,1
3332,1,24.5,27,2,0
3333,1,21.6,46,4,0
3334,1,18.2,43,2,1
3335,0,35.5,66,4,0
3336,0,26.4,54,4,0
3337,1,39,72,4,1
3338,1,1.9,58,4,0
3339,1,38.5,92,1,0
3340,1,34.9,47,1,0
3341,0,30,20,1,1
3342,0,34.7,56,2,1
3343,1,25.3,58,5,0
3344,1,31.1,85,1,1
3345,0,27,20,4,0
3346,1,12,28,2,1
3347,0,36.4,100,2,1
3348,0,37.5,61,2,0
3349,0,12.9,39,2,0
3350,1,6.2,15,2,0
3351,1,12.9,69,3,0
3352,0,35.7,79,1,0
3353,0,13.2,95,2,1
3354,0,1.8,18,1,1
3355,0,4,19,4,0
3356,1,2.9,38,5,1
3357,1,26.1,54,3,1
3358,0,5.9,6,2,1
3359,0,11.5,10,4,1
3360,0,28.6,67,4,1
3361,0,5.3,27,2,0
3362,0,24.6,47,5,1
3363,1,22.4,65,5,0
3364,1,25.5,83,5,0
3365,1,5.4,61,1,0
3366,0,17,29,0,1
3367,1,6.7,16,2,1
3368,0,25.3,49,3,0
3369,1,39.1,47,3,0
3370,0,27.2,63,0,1
3371,1,17.7,76,5,1
3372,0,38.8,78,1,1
3373,1,0.7,48,2,1
3374,1,27,56,2,1
3375,0,13,44,4,0
3376,1,15.8,71,1,1
3377,0,11.1,64,4,1
3378,0,25,64,3,1
3379,0,17.1,45,2,1
3380,0,13.1,65,4,1
3381,1,18.8,69,3,0
3382,0,13.6,56,0,1
3383,0,19.6,84,4,1
3384,0,12.8,67,0,0
3385,1,24.3,8,3,1
3386,0,6,69,3,1
3387,1,1,63,4,1
3388,0,22.6,26,2,0
3389,1,24.8,45,3,0
3390,1,10.7,9,4,0
3391,0,20.8,46,1,1
3392,1,29.7,99,4,1
3393,1,22.9,76,2,0
3394,1,23,44,2,1
3395,1,24,79,4,1
3396,0,32.6,42,5,0
3397,1,1.2,9,3,0
3398,0,0.4,78,3,1
3399,1,11.5,84,4,0
3400,1,25.2,8,0,0
3401,0,13.9,38,1,0
3402,1,13,23,2,0
3403,1,3,93,1,1
3404,1,8.5,5,4,0
3405,1,33.9,6,1,0
3406,1,28.5,14,3,0
3407,1,27.2,42,1,0
3408,0,29.6,46,4,1
3409,1,22.5,71,1,1
3410,0,14.1,7,1,0
3411,1,12.3,84,3,1
3412,0,15.3,70,1,1
3413,1,31.3,9,2,0
3414,0,33.9,2,2,0
3415,0,32.8,37,5,1
3416,0,19.6,40,3,1
3417,1,21.4,44,0,1
3418,0,24.1,56,4,1
3419,0,30.5,54,1,1
3420,1,33,81,1,0
3421,0,7.4,80,1,0
3422,0,2.3,7,4,0
3423,0,14.8,94,3,0
3424,0,34.8,75,3,0
3425,1,39.2,37,4,0
3426,0,18.1,18,3,0
3427,0,21.7,16,2,0
3428,0,14.6,2,4,1
3429,1,31,75,3,1
3430,0,14.8,74,2,1
3431,0,37.7,52,5,1
3432,1,6.1,27,4,0
3433,0,19.4,45,4,1
3434,0,2.9,6,5,0
3435,1,38.5,10,1,0
3436,1,24.3,42,4,0
3437,1,21.4,68,0,0
3438,0,21.9,11,1,0
3439,0,31.6,98,0,0
3440,1,16.8,47,0,0
3441,0,25.6,96,0,0
3442,0,21.6,91,3,1
3443,1,24.4,56,5,0
3444,1,8.4,98,2,1
3445,1,34,50,3,0
3446,1,38.1,0,2,1
3447,0,19.2,20,2,1
3448,1,30.4,70,4,0
3449,1,24.8,85,4,1
3450,1,27.2,26,2,0
